"","Year","deaths","CSexpected_est"
"1",1977,3,3.36
"2",1978,16,13.59695
"3",1979,21,24.53159
"4",1980,14,35.655773
"5",1981,19,50.342048
"6",1982,12,59.945534
"7",1983,9,70.862745
"8",1984,19,80.755991
"9",1985,16,87.169935
"10",1986,9,91.856209
"11",1987,13,98.625272
"12",1988,15,104.997821
"13",1989,10,108.766885
"14",1990,5,112.328976
"15",1991,7,115.973856
"16",1992,5,121.453159
"17",1993,19,128.470588
"18",1994,11,132.760349
"19",1995,22,137.505447
"20",1996,26,141.936819
"21",1997,36,147.261438
"22",1998,19,150.923747
